profil,library,fitness_rata2,fitness_std,fitness_terbaik,durasi_rata2_detik
Tipe Pagi,PyGAD,14.733333333333334,31.10649271275836,77.25,0.4014373540878296
Tipe Pagi,DEAP,0.0,0.0,0.0,0.09376010894775391
Tipe Pagi,Baseline (acak),0.0,0.0,0.0,
Intermediate,PyGAD,68.275,24.237605016040266,79.08333333333333,0.4227079629898071
Intermediate,DEAP,36.416666666666664,38.503687493761994,77.66666666666666,0.09842572212219239
Intermediate,Baseline (acak),0.0,0.0,0.0,
Tipe Malam,PyGAD,80.35833333333333,1.6358493471037472,82.08333333333333,0.42190587520599365
Tipe Malam,DEAP,55.8,38.52556871020134,82.41666666666667,0.10141620635986329
Tipe Malam,Baseline (acak),2.152777777777778,11.593063126470113,64.58333333333334,
